10520PE 206011	 | 	Basketball(basic)	 |	0	 | 	T1T2	 | 	PEC Stadium 2F	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206023	 | 	Basketball(basic)	 |	0	 | 	T5T6	 | 	PEC Stadium 2F	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206034	 | 	Basketball(basic)	 |	0	 | 	T7T8	 | 	PEC Stadium 2F	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206050	 | 	Basketball(basic)	 |	0	 | 	W5W6	 | 	PEC Stadium 2F	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206087	 | 	Basketball(basic)	 |	0	 | 	F1F2	 | 	PEC Stadium 2F	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205001	 | 	Core Strength	 |	0	 | 	M1M2	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Strength
10510PE 205004	 | 	Core Strength	 |	0	 | 	M3M4	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Strength
10520PE 206006	 | 	Core Strength(advance)	 |	0	 | 	M3M4	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Strength
10520PE 206001	 | 	Core Strength(basic)	 |	0	 | 	M1M2	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Strength
10520PE 112009	 | 	Dance Improvisation	 |	0	 | 	M5M6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10520PE 112018	 | 	Dance Improvisation	 |	0	 | 	M7M8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10510PE 205075	 | 	Exercise walking and jogging	 |	0	 | 	R5R6	 | 	PEC track and field	 | 	Optional	 | 	 - 	 | 	WalkRun
10510PE 205085	 | 	Exercise walking and jogging	 |	0	 | 	R7R8	 | 	PEC track and field	 | 	Optional	 | 	 - 	 | 	WalkRun
10520PE 112008	 | 	Exercise walking and jogging	 |	0	 | 	M5M6	 | 	PEC track and field	 | 	Optional	 | 	 - 	 | 	WalkRun
10520PE 112017	 | 	Exercise walking and jogging	 |	0	 | 	M7M8	 | 	PEC track and field	 | 	Optional	 | 	 - 	 | 	WalkRun
10520PE 206074	 | 	Exercise walking and jogging	 |	0	 | 	R5R6	 | 	PEC track and field	 | 	Optional	 | 	 - 	 | 	WalkRun
10520PE 206084	 | 	Exercise walking and jogging	 |	0	 | 	R7R8	 | 	PEC track and field	 | 	Optional	 | 	 - 	 | 	WalkRun
10510PE 205038	 | 	fat burn	 |	0	 | 	W3W4	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10510PE 205048	 | 	fat burn	 |	0	 | 	W5W6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10520PE 206045	 | 	fat burn	 |	0	 | 	W3W4	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10520PE 206048	 | 	fat burn	 |	0	 | 	W5W6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10510PE 205016	 | 	Football	 |	0	 | 	T5T6	 | 	PEC football field	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205028	 | 	Football	 |	0	 | 	T7T8	 | 	PEC football field	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206022	 | 	Football	 |	0	 | 	T5T6	 | 	PEC football field	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206033	 | 	Football	 |	0	 | 	T7T8	 | 	PEC football field	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205013	 | 	Golf	 |	0	 | 	T3T4	 | 	PEC Sports Audiovisual	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205024	 | 	Golf	 |	0	 | 	T5T6	 | 	PEC Sports Audiovisual	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205073	 | 	Golf	 |	0	 | 	R5R6	 | 	PEC Sports Audiovisual	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205083	 | 	Golf	 |	0	 | 	R7R8	 | 	PEC Sports Audiovisual	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206018	 | 	Golf	 |	0	 | 	T3T4	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206030	 | 	Golf	 |	0	 | 	T5T6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206072	 | 	Golf	 |	0	 | 	R5R6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206082	 | 	Golf	 |	0	 | 	R7R8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205051	 | 	Ironman Triathlon	 |	0	 | 	W5W6	 | 	PEC track and field	 | 	Optional	 | 	 - 	 | 	Strength
10520PE 206053	 | 	Ironman Triathlon	 |	0	 | 	W5W6	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Strength
10510PE 205071	 | 	Jazz Dance	 |	0	 | 	R5R6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10510PE 205081	 | 	Jazz Dance	 |	0	 | 	R7R8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10520PE 206070	 | 	Jazz Dance	 |	0	 | 	R5R6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10520PE 206080	 | 	Jazz Dance	 |	0	 | 	R7R8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10510PE 205047	 | 	Judo	 |	0	 | 	W5W6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Martial
10510PE 205056	 | 	Judo	 |	0	 | 	W7W8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Martial
10520PE 112021	 | 	Karate	 |	0	 | 	F5F6	 | 	STC Mengmin 101	 | 	Optional	 | 	 - 	 | 	Martial
10520PE 206090	 | 	Karate	 |	0	 | 	F3F4	 | 	STC Mengmin 101	 | 	Optional	 | 	 - 	 | 	Martial
10510PE 205025	 | 	Orienteering	 |	0	 | 	T5T6	 | 	PEC track and field	 | 	Optional	 | 	 - 	 | 	WalkRun
10510PE 205035	 | 	Orienteering	 |	0	 | 	T7T8	 | 	PEC track and field	 | 	Optional	 | 	 - 	 | 	WalkRun
10510PE 205044	 | 	Orienteering	 |	0	 | 	W5W6	 | 	PEC track and field	 | 	Optional	 | 	 - 	 | 	WalkRun
10510PE 205053	 | 	Orienteering	 |	0	 | 	W7W8	 | 	PEC track and field	 | 	Optional	 | 	 - 	 | 	WalkRun
10520PE 206047	 | 	Orienteering	 |	0	 | 	W5W6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	WalkRun
10520PE 206055	 | 	Orienteering	 |	0	 | 	W7W8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	WalkRun
10510PE 111027	 | 	Physical Education	 |	0	 | 	F7F8	 | 	 - 	 | 	Required	 | 	 - 	 | 	 - 
10510PE 205072	 | 	Physical Training::san da	 |	0	 | 	R5R6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	WalkRun
10510PE 205082	 | 	Physical Training::san da	 |	0	 | 	R7R8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	WalkRun
10520PE 206071	 | 	Physical Training::san da	 |	0	 | 	R5R6	 | 	STC Mengmin 101	 | 	Optional	 | 	 - 	 | 	WalkRun
10520PE 206081	 | 	Physical Training::san da	 |	0	 | 	R7R8	 | 	STC Mengmin 101	 | 	Optional	 | 	 - 	 | 	WalkRun
10510PE 205074	 | 	Ping pong (advance)	 |	0	 | 	R5R6	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205084	 | 	Ping pong (advance)	 |	0	 | 	R7R8	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206073	 | 	Ping pong (advance)	 |	0	 | 	R5R6	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206083	 | 	Ping pong (advance)	 |	0	 | 	R7R8	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205005	 | 	Ping pong(basic)	 |	0	 | 	T1T2	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205009	 | 	Ping pong(basic)	 |	0	 | 	T3T4	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205019	 | 	Ping pong(basic)	 |	0	 | 	T5T6	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205031	 | 	Ping pong(basic)	 |	0	 | 	T7T8	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205040	 | 	Ping pong(basic)	 |	0	 | 	W3W4	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205045	 | 	Ping pong(basic)	 |	0	 | 	W5W6	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205054	 | 	Ping pong(basic)	 |	0	 | 	W7W8	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205086	 | 	Ping pong(basic)	 |	0	 | 	F1F2	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205089	 | 	Ping pong(basic)	 |	0	 | 	F3F4	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112006	 | 	Ping pong(basic)	 |	0	 | 	M5M6	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112014	 | 	Ping pong(basic)	 |	0	 | 	M7M8	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112020	 | 	Ping pong(basic)	 |	0	 | 	F5F6	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112025	 | 	Ping pong(basic)	 |	0	 | 	F7F8	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206002	 | 	Ping pong(basic)	 |	0	 | 	M1M2	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206007	 | 	Ping pong(basic)	 |	0	 | 	M3M4	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206008	 | 	Ping pong(basic)	 |	0	 | 	T1T2	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206012	 | 	Ping pong(basic)	 |	0	 | 	T3T4	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206025	 | 	Ping pong(basic)	 |	0	 | 	T5T6	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206036	 | 	Ping pong(basic)	 |	0	 | 	T7T8	 | 	PEC table	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205095	 | 	Pop Dance	 |	0	 | 	F5F6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10510PE 205096	 | 	Pop Dance	 |	0	 | 	F7F8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10520PE 112023	 | 	Pop Dance	 |	0	 | 	F5F6	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10520PE 112026	 | 	Pop Dance	 |	0	 | 	F7F8	 | 	PEC Alumni PE Museum	 | 	Optional	 | 	 - 	 | 	Dance
10510PE 205067	 | 	Softball	 |	0	 | 	R5R6	 | 	PEC baseball field	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205076	 | 	Softball	 |	0	 | 	R7R8	 | 	PEC baseball field	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112005	 | 	Softball	 |	0	 | 	M5M6	 | 	PEC baseball field	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 112013	 | 	Softball	 |	0	 | 	M7M8	 | 	PEC baseball field	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206066	 | 	Softball	 |	0	 | 	R5R6	 | 	PEC baseball field	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206075	 | 	Softball	 |	0	 | 	R7R8	 | 	PEC baseball field	 | 	Optional	 | 	 - 	 | 	Ball
10520PE 206051	 | 	Softball(advance)	 |	0	 | 	W5W6	 | 	PEC baseball field	 | 	Optional	 | 	 - 	 | 	Ball
10510PE 205022	 | 	Swimming(advance)	 |	0	 | 	T5T6	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
10520PE 112015	 | 	Swimming(advance)	 |	0	 | 	M7M8	 | 	PEC swimming pool	 | 	Optional	 | 	 - 	 | 	Water
