10510CS460100   	 | 	Introduction to Intelligent Computing                        	 |	3	 | 	W3W4F3     	 | 	 - 	 | 	Optional 	 | 	- 	 | 	TheoryAlgorithm
10510CS452000   	 | 	Introduction to Image Processing                             	 |	3	 | 	M5M6R4     	 | 	 - 	 | 	Optional 	 | 	- 	 | 	Multimedia
10510CS543200   	 | 	Advanced UNIX Programming                                    	 |	3	 | 	M7M8R6     	 | 	 - 	 | 	Optional 	 | 	- 	 | 	TheoryAlgorithm
10520CS423300   	 | 	Network Programming                                          	 |	3	 | 	MaMbMc     	 | 	 - 	 | 	Optional 	 | 	- 	 | 	Network
10520CS542000   	 | 	Cloud Programming                                            	 |	3	 | 	M6M7M8     	 | 	 - 	 | 	Optional 	 | 	- 	 | 	Network
10510CS 343300	 | 	Competitive Programming Training	 | 	3	 | 	MaMbMc	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	AppProgram
10520CS 343400	 | 	Competitive Programming Training (II)	 | 	3	 | 	MaMbMc	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	AppProgram
10510CS 342700	 | 	Computer System Administration	 | 	3	 | 	F5F6F7	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	AppProgram
10520CS 342700	 | 	Computer System Administration	 | 	3	 | 	M5M6M7	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	AppProgram
10520CS 150100	 | 	English Listening & Speaking	 | 	3	 | 	W7W8W9	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	Other
10520CS 450500	 | 	Introduction to Graphics Programming and Applications	 | 	3	 | 	M7M8M9	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	AppProgram
10520CS 423500	 | 	Introduction to Internet of Things	 | 	3	 | 	M6M7M8	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	Network
10510CS 321300	 | 	Introduction to Internet of Things and Applications	 | 	3	 | 	TaTbTc	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	Network
10520CS 321300	 | 	Introduction to Internet of Things and Applications	 | 	3	 | 	TaTbTc	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	Network
10520CS 411000	 | 	Parallel Computer Architecture	 | 	3	 | 	T7T8R7	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	SystemSoftware
10520CS 340500	 | 	Programming Top Ten Important Algorithms in Python	 | 	3	 | 	R7R8R9	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	TheoryAlgorithm
10520CS 542100	 | 	Cloud Computing	 |	3	 | 	T3T4F4	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	SystemSoftware
10520CS 574000	 | 	Cloud Databases	 |	3	 | 	T3T4R3	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	SystemSoftware
10520CS 510000	 | 	Advanced Computer Architecture	 |	3	 | 	M3M4W2	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	SystemSoftware
10520CS 531100	 | 	Advanced Data Structure	 |	1	 | 	M3	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	TheoryAlgorithm
10520CS 550000	 | 	Computer Graphics	 |	3	 | 	WaWbWc	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	Multimedia
10520CS 510700	 | 	Development Software Tools for Embedded Systems	 |	3	 | 	M7M8F7F8	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	SystemSoftware
10520CS 518000	 | 	Electronic System Level Design	 |	3	 | 	TaTbTc	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	ICDesign
10520CS 531200	 | 	Graph Theory	 |	3	 | 	M3M4W3W4	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	TheoryAlgorithm
10520CS 546400	 | 	High-Tech Entrepreneurship	 |	3	 | 	R6R7R8	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	Other
10520CS 573200	 | 	Introduction to Massive Data Analysis	 |	3	 | 	W3W4F3	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	TheoryAlgorithm
10520CS 515100	 | 	Introduction to System-on-Chip and its Applications	 |	3	 | 	T3T4R3R4	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	ICDesign
10520CS 536200	 | 	IoT Security Technologies and Practices	 |	3	 | 	R6R7R8	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	Network
10520CS 563100	 | 	Natural Language Processing	 |	3	 | 	R7R8R9	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	TheoryAlgorithm
10520CS 554000	 | 	Pattern Recognition	 |	3	 | 	M5M6R4	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	TheoryAlgorithm
10520CS 533100	 | 	Queuing Theory	 |	3	 | 	T7T8R7	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	TheoryAlgorithm
10520CS 529100	 | 	Stochastic Processes for Networking	 |	3	 | 	T7T8R7	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	Network
10520CS 526300	 | 	Wireless Multimedia Networking Technologies and Applications	 |	3	 | 	M7M8R6	 | 	 - 	 | 	Optional 	 | 	 - 	 | 	Network
